pH	act
2,0000931156496367	 35,57390278726179
2,1739089949717547	 40,19243900924951
2,3390173672624472	 44,348835099347255
2,4607386219838885	 48,27545041711036
2,5825434420319264	 53,358132338826366
2,6955571897219417	 56,822607524699535
2,791323054002301	 61,67493565469853
2,9043535147576365	 65,37062416136227
2,991328306679973	 68,60474555551843
3,0609883629313757	 72,30186661063813
3,1740188236867106	 75,99755511730186
3,2696342703791954	 78,76896336018567
3,356575636170893	 81,54065811276068
3,460881876829483	 84,54299316674388
3,565221543618712	 88,00775486230823
3,686942798340153	 91,93437018007137
3,817287994766422	 95,16705902577156
3,9476666173233297	 98,86217451305292
4,1213153659922535	 101,16857752713487
4,268707889044346	 100,23885357922234
4,39002803019812	 98,61634919801165
4,606679495933949	 95,83462660624497
4,832138747093119	 94,90232407111172
4,99671230129359	 91,65989389591104
5,083202414321663	 88,18882898714051
5,195664630856138	 84,02326458692467
5,299469479555145	 80,08920001719059
5,429112727237997	 73,61092938968663
5,558856253312768	 68,51993868692611
5,68849950099562	 62,04166805942212
5,844281982838068	 57,18103114837861
5,93937932450565	 52,78482644675458
6,0517078365175685	 46,76955548021414
6,146721612858554	 41,21728417463723
6,250275765577769	 33,81501979304453
6,345256115788114	 27,800321845886458
6,431595811228313	 22,248337050000742
6,552715395598255	 17,851272819303134
6,699756944278638	 12,066069134788506
6,8468653452203005	 7,205718733436171
7,011271768767577	 1,651155350329745
